point	title	description	iconSize	iconOffset	icon
49.0850379,16.1481370	Dukovany	réf : EDU</br>puissance : 1880 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
60.4037229,18.1729064	Forsmark 1	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
60.4042528,18.1743655	Forsmark 2	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
60.4056955,18.1599777	Forsmark 3	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
48.4930184,17.6776247	Jadrová elektráreň Bohunice	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
40.1546713,-76.7250609	Three Mile Island Unit 1 (TMI-1)	opérateur : Exelon Nuclear</br>puissance : 802 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
40.1532114,-76.7251041	Three Mile Island Unit 2 (TMI-2)	opérateur : Exelon Nuclear</br>puissance : 906 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
48.3545452,15.8859392	KKW Zwentendorf	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
48.2633127,18.4551178	Jadrová elektráreň Mochovce	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
51.3226461,4.2573648	Kerncentrale van Doel	<a href='http://nl.wikipedia.org/wiki/Kerncentrale_Doel' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
57.9029497,35.0589287	Kalininskaya	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
55.7438553,12.9228591	Barsebäcksverket	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
53.8506443,9.3457535	Kernkraftwerk Brokdorf	opérateur : E.ON, Vattenfall	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
53.8910353,9.2011845	Kernkraftwerk Brunsbüttel	opérateur : Vattenfall / E.ON</br><a href='http://de.wikipedia.org/wiki/Kernkraftwerk Brunsbüttel' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
44.3226900,28.0570713	Centrale nucléaire de Cernavodă	<a href='http://en.wikipedia.org/wiki/Cernavodă_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
52.0343202,9.4104631	Grohnde Nuclear Power Plant	opérateur : Gemeinschaftskernkraftwerk Grohnde GmbH & Co. oHG</br>puissance : 1430 MW</br><a href='http://en.wikipedia.org/wiki/Grohnde_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
48.5154110,10.4022290	Kernkraftwerk Gundremmingen B u. C	opérateur : KKW Gundremmingen GmbH</br>puissance : 2572 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
-33.6766658,18.4319409	Koeberg Nuclear Power Station	opérateur : Eskom	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
47.6011751,8.1826194	Kernkraftwerk Leibstadt	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
57.4147307,16.6721316	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
57.2601299,12.1099706	Ringhals kärnkraftsverk	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
53.6203500,9.5309620	Kernkraftwerk Stade (KKS)	arrêt : 	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
49.1795125,14.3835110	Jaderná elektrárna Temelín	réf : ETE</br>puissance : 2000 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
53.4293494,8.4774816	Kernkraftwerk Unterweser	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.2108761,-120.8545214	Diablo Canyon Power Plant Unit #2	puissance : 1118000000	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
51.9910169,4.3816578	Reactor Universiteit Delft (IRI)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
47.4790099,19.0583692	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
-23.0074389,-44.4579256	Angra Nuclear Power Plant	opérateur : Eletrobrás Termonuclear S.A. - Eletronuclear</br>puissance : 2007 MW</br><a href='http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.7236972,129.4808164	Nuclear Plant	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
58.7737060,17.3875120	Studsvik	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
39.8286122,-80.8172224	Mitchell Power Plant	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
44.3295568,-81.5869104	Bruce Nuclear Generating Station	opérateur : Bruce Power</br><a href='Bruce Nuclear Generating Station' target='_blank'>lien</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.8695237,-78.7247368	Darlington Generating Station	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
42.7750688,-3.2069054	Santa María de Garoña Nuclear Power Plant	puissance : 466 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
-25.8014355,27.9518798	SAFARI-1	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
-33.9673616,-59.2042343	Central de Atucha	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
55.7927145,37.4662781	Исследовательский ядерный реактор ИР-8	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.7264873,-90.3107056	Quad Cities Nuclear Generating Station	<a href='Quad_Cities_Nuclear_Generating_Station' target='_blank'>lien</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.5215796,-76.4075461	James A. FitzPatrick Nuclear Power Plant	<a href='http://en.wikipedia.org/wiki/James_A._FitzPatrick_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
60.3702074,26.3465788	Loviisa 1	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
60.3711538,26.3472472	Loviisa 2	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
51.6487106,-2.5709329	Oldbury	opérateur : Magnox North</br>mise en service : 1967</br>puissance : yes	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
28.8268819,50.8891271	Centrale nucléaire de Bouchehr	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
29.9954289,-90.4709565	Waterford 3 Nuclear Generating Station	opérateur : Entergy	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
30.7543648,-91.3289272	River Bend Nuclear Generating Station	opérateur : Entergy	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
52.4096526,13.1277404	Forschungsreaktor BER II	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
21.9582106,120.7490653	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
46.4718966,-119.3343445	Columbia Generating Station	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.3900720,-112.8614170	Palo Verde Nuclear Generating Station Unit #FIXME	puissance : 1246000000	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.3879321,-112.8640888	Palo Verde Nuclear Generating Station Unit #FIXME	puissance : 1246000000	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.3851138,-112.8656969	Palo Verde Nuclear Generating Station Unit #FIXME	puissance : 1246000000	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.2125634,-120.8554420	Diablo Canyon Power Plant Unit #1	puissance : 1122000000	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
22.6082378,114.5543645	岭澳 3…4	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
22.5975342,114.5431444	Daya Bay	<a href='http://en.wikipedia.org/wiki/Daya_Bay_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
22.6048272,114.5516017	Ling Ao Nuclear Power Plant	<a href='http://en.wikipedia.org/wiki/Ling_Ao_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
38.3997295,141.5006165	Centrale nucléaire d'Onagawa	opérateur : Tōhoku Denryoku</br><a href='http://en.wikipedia.org/wiki/Onagawa_Nuclear_Power_Plant' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.1874114,141.3905115	Higashidōri Nuclear Power Plant	opérateur : Tōhoku Denryoku	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.0379819,140.5129859	Tomari Nuclear Power Plant - 1	opérateur : Hokkaidō Denryoku</br>puissance : 550 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.0343305,140.5149324	Tomari Nuclear Power Plant - 3	opérateur : Hokkaidō Denryoku</br>puissance : 866 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.0367336,140.5139734	Tomari Nuclear Power Plant - 2	opérateur : Hokkaidō Denryoku</br>puissance : 550 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4363767,138.5998934	Kashiwazaki-Kariwa Nuclear Power Plant - 5	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1100 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4289867,138.5954583	Kashiwazaki-Kariwa Nuclear Power Plant - 4	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1100 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4375333,138.6004459	Kashiwazaki-Kariwa Nuclear Power Plant - 6	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1356 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4270589,138.5946212	Kashiwazaki-Kariwa Nuclear Power Plant - 3	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1100 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4255298,138.5949351	Kashiwazaki-Kariwa Nuclear Power Plant - 2	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1100 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4242169,138.5943805	Kashiwazaki-Kariwa Nuclear Power Plant - 1	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1100 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4385768,138.6010737	Kashiwazaki-Kariwa Nuclear Power Plant - 7	opérateur : Tōkyō Denryoku Kabushiki-kaisha</br>puissance : 1356 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
50.5347759,5.2773935	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
50.5346895,5.2713882	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
50.5354234,5.2734031	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
31.8344168,130.1901944	川内原子力発電所	opérateur : 九州電力株式会社</br>réf : 2</br>mise en service : 1985-11-28</br>puissance : 890.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.5171221,140.9050035	大間原子力発電所	opérateur : 電源開発株式会社</br>réf : 1</br>mise en service : 2012-03</br>puissance : 1.383MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.0375000,140.5115560	泊原子力発電所	opérateur : 北海道電力株式会社</br>réf : 1</br>mise en service : 1989-06-22</br>puissance : 579.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.7525000,136.0181670	敦賀原子力発電所	opérateur : 日本原子力発電株式会社</br>réf : 1</br>mise en service : 1970-03-14</br>puissance : 357.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5402780,135.6541670	大飯原子力発電所	opérateur : 関西電力株式会社</br>réf : 3</br>mise en service : 1991-12-18</br>puissance : 1.180MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.3167608,141.0236297	福島第二原子力発電所	opérateur : 東京電力株式会社</br>réf : 1</br>mise en service : 1982-04-20</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.4726110,132.3084171	伊方原子力発電所	opérateur : 四国電力株式会社</br>réf : 2</br>mise en service : 1982-03-19</br>puissance : 566.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.4726110,132.3084171	伊方原子力発電所	opérateur : 四国電力株式会社</br>réf : 1</br>mise en service : 1977-09-30</br>puissance : 566.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5224440,135.5069170	高浜原子力発電所	opérateur : 関西電力株式会社</br>réf : 3</br>mise en service : 1985-01-17</br>puissance : 870.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.5135896,141.0338836	浪江・小高原子力発電所	opérateur : 東北電力株式会社</br>réf : 1</br>mise en service : 2017</br>puissance : 825.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.5158887,129.8372504	玄海原子力発電所	opérateur : 九州電力株式会社</br>réf : 1</br>mise en service : 1975-10-15</br>puissance : 559.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.2244949,141.4026187	東通原子力発電所	opérateur : 東北電力株式会社</br>réf : 2</br>mise en service : 2017</br>puissance : 1.385MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
36.4651940,140.6051390	東海第二原子力発電所	opérateur : 日本原子力発電株式会社</br>réf : 1</br>mise en service : 1978-11-28</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273610,138.5942220	柏崎刈羽原子力発電所	opérateur : 東京電力株式会社</br>réf : 6</br>mise en service : 1996-11-07</br>puissance : 1.356MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.7037220,135.9638060	美浜原子力発電所	opérateur : 関西電力株式会社</br>réf : 1</br>mise en service : 1970-11-28</br>puissance : 340.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5402780,135.6541670	大飯原子力発電所	opérateur : 関西電力株式会社</br>réf : 4</br>mise en service : 1993-02-02</br>puissance : 1.180MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273610,138.5942220	柏崎刈羽原子力発電所	opérateur : 東京電力株式会社</br>réf : 2</br>mise en service : 1990-09-28</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.4726110,132.3084171	伊方原子力発電所	opérateur : 四国電力株式会社</br>réf : 3</br>mise en service : 1994-12-15</br>puissance : 890.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.5158887,129.8372504	玄海原子力発電所	opérateur : 九州電力株式会社</br>réf : 2</br>mise en service : 1981-03-30</br>puissance : 559.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5224440,135.5069170	高浜原子力発電所	opérateur : 関西電力株式会社</br>réf : 4</br>mise en service : 1985-06-05</br>puissance : 870.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5387780,132.9997500	島根原子力発電所	opérateur : 中国電力株式会社</br>réf : 1</br>mise en service : 1974-03-29</br>puissance : 460.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.2244949,141.4026187	東通原子力発電所	opérateur : 東北電力株式会社</br>réf : 1</br>mise en service : 2005-12-08</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
34.6244170,138.1420280	浜岡原子力発電所	opérateur : 中部電力株式会社</br>réf : 5</br>mise en service : 2005-01-18</br>puissance : 1.380MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.0605866,136.7268284	志賀原子力発電所	opérateur : 北陸電力株式会社</br>réf : 2</br>mise en service : 2006-03-15</br>puissance : 1.358MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
